Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jameson Taillon","CHC",9.4833,10.7388,12.9818,4.45973,29.16,29.16,0,0,167.813,710.772,174.853,88.9735,83.1558,26.0111,40.4373,,5.3621,134.894,7.2345,2.16869,3.33588,1.395,0.189785,0.0568921,0.13289310783147812,0.262948,1.28292,0.295282,0.706175,0.385001,,4.39257,1.33087,1.35489,338.8699951171875,,,,"11674"
"Kyle Harrison","SFG",8.6173,9.1007,12.0089,4.05902,25.92,25.92,0,0,145.029,621.642,133.714,70.3867,65.4085,18.9666,53.6434,,7.7121,148.209,9.19736,3.32892,2.76286,1.177,0.238416,0.0862931,0.15212291479110718,0.238652,1.29186,0.291895,0.72741,0.38737,,4.0919,1.3248,1.68543,371.20001220703125,,,,"27758"
"Davis Martin","CHW",6.9371,10.0135,10.8102,4.51151,24.3,24.3,0,0,140.647,608.072,141.419,75.7049,70.5034,21.0189,51.0319,,6.7557,119.75,7.6628,3.26553,2.34657,1.345,0.196934,0.0839241,0.113009974360466,0.256993,1.36832,0.294006,0.716126,0.41617,,4.63902,1.31875,1.17309,707.7999877929688,,,,"21448"
"Kyle Freeland","COL",7.3912,11.4688,9.3726,5.12453,27.54,27.54,0,0,153.115,668.916,176.61,92.9134,87.1825,25.9615,41.4501,,5.8256,113.249,6.65673,2.43641,2.73219,1.526,0.169303,0.0619661,0.10733693838119507,0.284104,1.42416,0.312271,0.688702,0.407508,,4.81771,1.3071,1.40362,999,,,,"16256"
"Dean Kremer","BAL",9.72,10.3133,12.6254,4.42125,29.16,29.16,0,0,164.862,707.26,164.372,86.8051,80.9886,25.4254,55.4067,,5.9311,144.791,7.90428,3.02471,2.61324,1.388,0.204721,0.0783399,0.12638095021247864,0.254477,1.33311,0.292086,0.721965,0.389389,,4.53103,1.27328,1.1998,407.20001220703125,,,,"19350"
"Steven Matz","STL",6.9031,6.7615,7.1305,3.88916,44.2,16.2,0,0.632,116.122,487.126,112.002,54.405,50.1796,14.5152,32.8168,,4.635,103.179,7.99688,2.54346,3.1441,1.125,0.211812,0.0673682,0.14444394409656525,0.249074,1.24713,0.293653,0.72623,0.4377,,3.98196,1.27162,1.47743,628.0700073242188,,,,"13361"
"Antonio Senzatela","COL",6.5216,10.0858,7.3537,5.10518,34.68,22.68,0,0.5443,136.334,597.155,161.913,83.0119,77.3344,20.4198,37.2563,,5.8282,87.4972,5.77607,2.45945,2.34852,1.348,0.146523,0.0623897,0.08413376659154892,0.292225,1.46089,0.317141,0.68095,0.47133,,4.77808,1.26128,1.09084,999,,,,"15488"
"Eury Pérez","MIA",4.7373,5.1768,6.8334,3.91163,14.58,14.58,0,0,80.6072,338.259,71.0598,37.4793,35.034,11.1596,26.4042,,3.1668,89.7825,10.0244,2.9481,3.40031,1.246,0.265425,0.0780591,0.18736620247364044,0.230199,1.20912,0.288334,0.732946,0.345659,,3.83916,1.25977,1.46508,515.6699829101562,,,,"27768"
"Luis Garcia","HOU",7.378,7.3989,8.6063,4.19026,34.44,19.44,0,0.6369,124.187,523.5,117.185,61.8311,57.8193,18.5452,38.8663,,3.8896,121.893,8.8338,2.8167,3.13622,1.344,0.232843,0.0742432,0.15860000997781754,0.243758,1.25659,0.289858,0.724281,0.365448,,4.17761,1.25511,1.19055,388.20001220703125,,,,"23735"
"Spencer Arrighetti","HOU",8.474,9.0279,10.4698,4.38537,25.92,25.92,0,0,141.287,608.471,129.258,73.6569,68.8439,20.4866,61.1063,,7.0936,144.219,9.18678,3.89248,2.36013,1.305,0.237019,0.100426,0.13659286499023438,0.239247,1.34736,0.289621,0.721828,0.378156,,4.45809,1.23032,1.18796,220.07000732421875,,,,"29921"
"Tobias Myers","MIL",7.6001,8.9756,9.9726,4.47883,24.3,24.3,0,0,134.958,581.467,135.868,71.8739,67.1618,21.7133,42.1348,,5.5065,120.246,8.01888,2.80985,2.85385,1.448,0.206798,0.0724629,0.13433505594730377,0.254518,1.31895,0.291311,0.719011,0.381284,,4.53508,1.21105,1.21678,317.6000061035156,,,,"22191"
"Zack Littell","TBR",7.8832,9.2191,9.3893,4.31975,39.68,22.68,0,0.6725,142.333,601.934,144.453,73.1134,68.316,22.2198,34.7067,,5.5504,122.372,7.7378,2.19457,3.52589,1.405,0.203298,0.0576586,0.14563922584056854,0.257181,1.25873,0.293065,0.716277,0.380202,,4.32492,1.19682,0.974041,381.3999938964844,,,,"15823"
"Cade Cavalli","WSN",6.9147,8.1712,8.8018,4.22744,36.44,19.44,0,0.5989,127.643,546.683,120.497,64.5211,59.9558,17.1609,47.7653,,7.2119,118.724,8.37113,3.36789,2.48557,1.21,0.217171,0.0873729,0.12979844212532043,0.245059,1.31823,0.290416,0.719241,0.410589,,4.34614,1.18318,1.34508,561.72998046875,,,,"27473"
